
D:\CVE-2026-43499\vmlinux_extracted:	file format elf64-littleaarch64

Disassembly of section .kernel:

ffffffc0803e018c <do_select>:
ffffffc0803e018c: d503233f     	paciasp
ffffffc0803e0790: 97f6a3b6     	bl	0xffffffc080189668 <ktime_get>
ffffffc0803e0794: d34afc08     	lsr	x8, x0, #10
ffffffc0803e0798: b9002fff     	str	wzr, [sp, #0x2c]
ffffffc0803e079c: f90013e8     	str	x8, [sp, #0x20]
ffffffc0803e07a0: 17ffff23     	b	0xffffffc0803e042c <do_select+0x2a0>
ffffffc0803e07a4: 2a1f03fc     	mov	w28, wzr
ffffffc0803e07a8: 910383e0     	add	x0, sp, #0xe0
ffffffc0803e07ac: 97fffd41     	bl	0xffffffc0803dfcb0 <poll_freewait>
ffffffc0803e07b0: 2a1c03f7     	mov	w23, w28
ffffffc0803e07b4: d5384108     	mrs	x8, SP_EL0
ffffffc0803e07b8: f9431108     	ldr	x8, [x8, #0x620]
ffffffc0803e07bc: f85f03a9     	ldur	x9, [x29, #-0x10]
ffffffc0803e07c0: eb09011f     	cmp	x8, x9
ffffffc0803e07c4: 54000201     	b.ne	0xffffffc0803e0804 <do_select+0x678>
ffffffc0803e07c8: 2a1703e0     	mov	w0, w23
ffffffc0803e07cc: 910d83ff     	add	sp, sp, #0x360
ffffffc0803e07d0: a9454ff4     	ldp	x20, x19, [sp, #0x50]
ffffffc0803e07d4: a94457f6     	ldp	x22, x21, [sp, #0x40]
ffffffc0803e07d8: a9435ff8     	ldp	x24, x23, [sp, #0x30]
ffffffc0803e07dc: a94267fa     	ldp	x26, x25, [sp, #0x20]
ffffffc0803e07e0: a9416ffc     	ldp	x28, x27, [sp, #0x10]
ffffffc0803e07e4: a8c67bfd     	ldp	x29, x30, [sp], #0x60
ffffffc0803e07e8: d50323bf     	autiasp
ffffffc0803e07ec: d65f03c0     	ret
ffffffc0803e07f0: 52800028     	mov	w8, #0x1        // =1
ffffffc0803e07f4: f90003ff     	str	xzr, [sp]
ffffffc0803e07f8: f90073ff     	str	xzr, [sp, #0xe0]
ffffffc0803e07fc: b9002fe8     	str	w8, [sp, #0x2c]
ffffffc0803e0800: 17ffff08     	b	0xffffffc0803e0420 <do_select+0x294>
ffffffc0803e0804: 943194f8     	bl	0xffffffc081045be4 <__stack_chk_fail>

ffffffc0803e0808 <set_fd_set>:
ffffffc0803e0808: d503233f     	paciasp
ffffffc0803e080c: a9bd7bfd     	stp	x29, x30, [sp, #-0x30]!
ffffffc0803e0810: f9000bf5     	str	x21, [sp, #0x10]
ffffffc0803e0814: a9024ff4     	stp	x20, x19, [sp, #0x20]
ffffffc0803e0818: 910003fd     	mov	x29, sp
ffffffc0803e081c: aa0003e8     	mov	x8, x0
ffffffc0803e0820: aa1f03e0     	mov	x0, xzr
ffffffc0803e0824: b40004c1     	cbz	x1, 0xffffffc0803e08bc <set_fd_set+0xb4>
ffffffc0803e0828: 9100fd08     	add	x8, x8, #0x3f
ffffffc0803e082c: aa0203f3     	mov	x19, x2
ffffffc0803e0830: aa0103f4     	mov	x20, x1
ffffffc0803e0834: d343fd08     	lsr	x8, x8, #3
ffffffc0803e0838: aa0203e0     	mov	x0, x2
ffffffc0803e083c: 52800022     	mov	w2, #0x1        // =1
ffffffc0803e0840: 927de515     	and	x21, x8, #0x1ffffffffffffff8
ffffffc0803e0844: aa1503e1     	mov	x1, x21
ffffffc0803e0848: 97ff657e     	bl	0xffffffc0803b9e40 <__check_object_size>
ffffffc0803e084c: 14000021     	b	0xffffffc0803e08d0 <set_fd_set+0xc8>
ffffffc0803e0850: d503201f     	nop
ffffffc0803e0854: d53b4228     	mrs	x8, DAIF
ffffffc0803e0858: d50343df     	msr	DAIFSet, #0x3
ffffffc0803e085c: d5384109     	mrs	x9, SP_EL0
ffffffc0803e0860: f9400529     	ldr	x9, [x9, #0x8]
ffffffc0803e0864: d538202a     	mrs	x10, TTBR1_EL1
ffffffc0803e0868: aa0903eb     	mov	x11, x9
ffffffc0803e086c: b340bd4b     	bfxil	x11, x10, #0, #48
ffffffc0803e0870: d518202b     	msr	TTBR1_EL1, x11
ffffffc0803e0874: d5182009     	msr	TTBR0_EL1, x9
ffffffc0803e0878: d5033fdf     	isb
ffffffc0803e087c: d51b4228     	msr	DAIF, x8
ffffffc0803e0880: 9248fa80     	and	x0, x20, #0xff7fffffffffffff
ffffffc0803e0884: aa1303e1     	mov	x1, x19
ffffffc0803e0888: aa1503e2     	mov	x2, x21
ffffffc0803e088c: 9430b78d     	bl	0xffffffc08100e6c0 <__arch_copy_to_user>
ffffffc0803e0890: 14000014     	b	0xffffffc0803e08e0 <set_fd_set+0xd8>
ffffffc0803e0894: d503201f     	nop
ffffffc0803e0898: d53b4228     	mrs	x8, DAIF
ffffffc0803e089c: d50343df     	msr	DAIFSet, #0x3
ffffffc0803e08a0: d5382029     	mrs	x9, TTBR1_EL1
ffffffc0803e08a4: 9240bd29     	and	x9, x9, #0xffffffffffff
ffffffc0803e08a8: d140052a     	sub	x10, x9, #0x1, lsl #12 // =0x1000
ffffffc0803e08ac: d518200a     	msr	TTBR0_EL1, x10
ffffffc0803e08b0: d5182029     	msr	TTBR1_EL1, x9
ffffffc0803e08b4: d5033fdf     	isb
ffffffc0803e08b8: d51b4228     	msr	DAIF, x8
ffffffc0803e08bc: a9424ff4     	ldp	x20, x19, [sp, #0x20]
ffffffc0803e08c0: f9400bf5     	ldr	x21, [sp, #0x10]
ffffffc0803e08c4: a8c37bfd     	ldp	x29, x30, [sp], #0x30
ffffffc0803e08c8: d50323bf     	autiasp
ffffffc0803e08cc: d65f03c0     	ret
ffffffc0803e08d0: 9000f788     	adrp	x8, 0xffffffc0822d0000 <reset_devices>
ffffffc0803e08d4: f9433108     	ldr	x8, [x8, #0x660]
ffffffc0803e08d8: b737fd48     	tbnz	x8, #0x26, 0xffffffc0803e0880 <set_fd_set+0x78>
ffffffc0803e08dc: 17ffffde     	b	0xffffffc0803e0854 <set_fd_set+0x4c>
ffffffc0803e08e0: 9000f788     	adrp	x8, 0xffffffc0822d0000 <reset_devices>
ffffffc0803e08e4: f9433108     	ldr	x8, [x8, #0x660]
ffffffc0803e08e8: b737fea8     	tbnz	x8, #0x26, 0xffffffc0803e08bc <set_fd_set+0xb4>
ffffffc0803e08ec: 17ffffeb     	b	0xffffffc0803e0898 <set_fd_set+0x90>
ffffffc0803e08f0: b02b34d9     	adrp	x25, 0xffffffc0d6a79000 <_end+0x54719000>

ffffffc0803e08f4 <__arm64_sys_select>:
ffffffc0803e08f4: d503233f     	paciasp
ffffffc0803e08f8: d10203ff     	sub	sp, sp, #0x80
ffffffc0803e08fc: a9037bfd     	stp	x29, x30, [sp, #0x30]
ffffffc0803e0900: a90467fa     	stp	x26, x25, [sp, #0x40]
ffffffc0803e0904: a9055ff8     	stp	x24, x23, [sp, #0x50]
ffffffc0803e0908: a90657f6     	stp	x22, x21, [sp, #0x60]
ffffffc0803e090c: a9074ff4     	stp	x20, x19, [sp, #0x70]
ffffffc0803e0910: 9100c3fd     	add	x29, sp, #0x30
ffffffc0803e0914: d5384108     	mrs	x8, SP_EL0
ffffffc0803e0918: f9431108     	ldr	x8, [x8, #0x620]
ffffffc0803e091c: f81f83a8     	stur	x8, [x29, #-0x8]
ffffffc0803e0920: a941cc14     	ldp	x20, x19, [x0, #0x18]
ffffffc0803e0924: b9400015     	ldr	w21, [x0]
ffffffc0803e0928: a940d817     	ldp	x23, x22, [x0, #0x8]
ffffffc0803e092c: a901ffff     	stp	xzr, xzr, [sp, #0x18]
ffffffc0803e0930: a900ffff     	stp	xzr, xzr, [sp, #0x8]
ffffffc0803e0934: b4000113     	cbz	x19, 0xffffffc0803e0954 <__arm64_sys_select+0x60>
ffffffc0803e0938: 910023e0     	add	x0, sp, #0x8
ffffffc0803e093c: aa1303e1     	mov	x1, x19
ffffffc0803e0940: 52800202     	mov	w2, #0x10       // =16
ffffffc0803e0944: 940002d4     	bl	0xffffffc0803e1494 <_copy_from_user>
ffffffc0803e0948: b40003a0     	cbz	x0, 0xffffffc0803e09bc <__arm64_sys_select+0xc8>
ffffffc0803e094c: 928001a0     	mov	x0, #-0xe       // =-14
ffffffc0803e0950: 1400000e     	b	0xffffffc0803e0988 <__arm64_sys_select+0x94>
ffffffc0803e0954: aa1f03f8     	mov	x24, xzr
ffffffc0803e0958: 2a1503e0     	mov	w0, w21
ffffffc0803e095c: aa1703e1     	mov	x1, x23
ffffffc0803e0960: aa1603e2     	mov	x2, x22
ffffffc0803e0964: aa1403e3     	mov	x3, x20
ffffffc0803e0968: aa1803e4     	mov	x4, x24
ffffffc0803e096c: 97fffd22     	bl	0xffffffc0803dfdf4 <core_sys_select>
ffffffc0803e0970: 2a0003e3     	mov	w3, w0
ffffffc0803e0974: 910063e0     	add	x0, sp, #0x18
ffffffc0803e0978: aa1303e1     	mov	x1, x19
ffffffc0803e097c: 2a1f03e2     	mov	w2, wzr
ffffffc0803e0980: 9400030d     	bl	0xffffffc0803e15b4 <poll_select_finish>
ffffffc0803e0984: 93407c00     	sxtw	x0, w0
ffffffc0803e0988: d5384108     	mrs	x8, SP_EL0
ffffffc0803e098c: f9431108     	ldr	x8, [x8, #0x620]
ffffffc0803e0990: f85f83a9     	ldur	x9, [x29, #-0x8]
ffffffc0803e0994: eb09011f     	cmp	x8, x9
ffffffc0803e0998: 54000561     	b.ne	0xffffffc0803e0a44 <__arm64_sys_select+0x150>
ffffffc0803e099c: a9474ff4     	ldp	x20, x19, [sp, #0x70]
ffffffc0803e09a0: a94657f6     	ldp	x22, x21, [sp, #0x60]
ffffffc0803e09a4: a9455ff8     	ldp	x24, x23, [sp, #0x50]
ffffffc0803e09a8: a94467fa     	ldp	x26, x25, [sp, #0x40]
ffffffc0803e09ac: a9437bfd     	ldp	x29, x30, [sp, #0x30]
ffffffc0803e09b0: 910203ff     	add	sp, sp, #0x80
ffffffc0803e09b4: d50323bf     	autiasp
ffffffc0803e09b8: d65f03c0     	ret
ffffffc0803e09bc: d2869b69     	mov	x9, #0x34db     // =13531
ffffffc0803e09c0: a940a3eb     	ldp	x11, x8, [sp, #0x8]
ffffffc0803e09c4: f2baf6c9     	movk	x9, #0xd7b6, lsl #16
ffffffc0803e09c8: 928002a0     	mov	x0, #-0x16      // =-22
ffffffc0803e09cc: f2dbd049     	movk	x9, #0xde82, lsl #32
ffffffc0803e09d0: f2e86369     	movk	x9, #0x431b, lsl #48
ffffffc0803e09d4: 9b497d09     	smulh	x9, x8, x9
ffffffc0803e09d8: 9352fd2a     	asr	x10, x9, #18
ffffffc0803e09dc: 8b49fd49     	add	x9, x10, x9, lsr #63
ffffffc0803e09e0: ab0b0139     	adds	x25, x9, x11
ffffffc0803e09e4: 54fffd24     	b.mi	0xffffffc0803e0988 <__arm64_sys_select+0x94>
ffffffc0803e09e8: 5288480a     	mov	w10, #0x4240    // =16960
ffffffc0803e09ec: 72a001ea     	movk	w10, #0xf, lsl #16
ffffffc0803e09f0: 9b0aa128     	msub	x8, x9, x10, x8
ffffffc0803e09f4: 52807d09     	mov	w9, #0x3e8      // =1000
ffffffc0803e09f8: 9b097d1a     	mul	x26, x8, x9
ffffffc0803e09fc: 52993fe8     	mov	w8, #0xc9ff     // =51711
ffffffc0803e0a00: 72a77348     	movk	w8, #0x3b9a, lsl #16
ffffffc0803e0a04: eb08035f     	cmp	x26, x8
ffffffc0803e0a08: 54fffc08     	b.hi	0xffffffc0803e0988 <__arm64_sys_select+0x94>
ffffffc0803e0a0c: aa190348     	orr	x8, x26, x25
ffffffc0803e0a10: b4000148     	cbz	x8, 0xffffffc0803e0a38 <__arm64_sys_select+0x144>
ffffffc0803e0a14: 910063e0     	add	x0, sp, #0x18
ffffffc0803e0a18: 910063f8     	add	x24, sp, #0x18
ffffffc0803e0a1c: 97f6a3ea     	bl	0xffffffc0801899c4 <ktime_get_ts64>
ffffffc0803e0a20: a94187e0     	ldp	x0, x1, [sp, #0x18]
ffffffc0803e0a24: aa1903e2     	mov	x2, x25
ffffffc0803e0a28: aa1a03e3     	mov	x3, x26
ffffffc0803e0a2c: 97f684cd     	bl	0xffffffc080181d60 <timespec64_add_safe>
ffffffc0803e0a30: a90187e0     	stp	x0, x1, [sp, #0x18]
ffffffc0803e0a34: 17ffffc9     	b	0xffffffc0803e0958 <__arm64_sys_select+0x64>
ffffffc0803e0a38: a901ffff     	stp	xzr, xzr, [sp, #0x18]
ffffffc0803e0a3c: 910063f8     	add	x24, sp, #0x18
ffffffc0803e0a40: 17ffffc6     	b	0xffffffc0803e0958 <__arm64_sys_select+0x64>
ffffffc0803e0a44: 94319468     	bl	0xffffffc081045be4 <__stack_chk_fail>
ffffffc0803e0a48: b02b34d9     	adrp	x25, 0xffffffc0d6a79000 <_end+0x54719000>

ffffffc0803e0a4c <__arm64_sys_pselect6>:
ffffffc0803e0a4c: d503233f     	paciasp
ffffffc0803e0a50: d10243ff     	sub	sp, sp, #0x90
ffffffc0803e0a54: a9037bfd     	stp	x29, x30, [sp, #0x30]
ffffffc0803e0a58: a9046ffc     	stp	x28, x27, [sp, #0x40]
ffffffc0803e0a5c: a90567fa     	stp	x26, x25, [sp, #0x50]
ffffffc0803e0a60: a9065ff8     	stp	x24, x23, [sp, #0x60]
ffffffc0803e0a64: a90757f6     	stp	x22, x21, [sp, #0x70]
ffffffc0803e0a68: a9084ff4     	stp	x20, x19, [sp, #0x80]
ffffffc0803e0a6c: 9100c3fd     	add	x29, sp, #0x30
ffffffc0803e0a70: d5384108     	mrs	x8, SP_EL0
ffffffc0803e0a74: f9431108     	ldr	x8, [x8, #0x620]
ffffffc0803e0a78: f81f83a8     	stur	x8, [x29, #-0x8]
ffffffc0803e0a7c: a9422413     	ldp	x19, x9, [x0, #0x20]
ffffffc0803e0a80: b9400014     	ldr	w20, [x0]
ffffffc0803e0a84: a940d817     	ldp	x23, x22, [x0, #0x8]
ffffffc0803e0a88: f9400c15     	ldr	x21, [x0, #0x18]
ffffffc0803e0a8c: b4000189     	cbz	x9, 0xffffffc0803e0abc <__arm64_sys_pselect6+0x70>
ffffffc0803e0a90: d5384108     	mrs	x8, SP_EL0
ffffffc0803e0a94: 3941190a     	ldrb	w10, [x8, #0x46]
ffffffc0803e0a98: 372804aa     	tbnz	w10, #0x5, 0xffffffc0803e0b2c <__arm64_sys_pselect6+0xe0>
ffffffc0803e0a9c: f940010a     	ldr	x10, [x8]
ffffffc0803e0aa0: 37d0076a     	tbnz	w10, #0x1a, 0xffffffc0803e0b8c <__arm64_sys_pselect6+0x140>
ffffffc0803e0aa4: b2705bea     	mov	x10, #0x7fffff0000 // =549755748352
ffffffc0803e0aa8: f29fff2a     	movk	x10, #0xfff9
ffffffc0803e0aac: d100214a     	sub	x10, x10, #0x8
